SRA_ID	Name	BioProject	SNPversity ID
SRR17046119	1	PRJNA783885	1_SRR17046119
SRR17045932	10	PRJNA783885	10_SRR17045932
SRR17045852	1003	PRJNA783885	1003_SRR17045852
SRR17045851	1004	PRJNA783885	1004_SRR17045851
SRR17045850	1005	PRJNA783885	1005_SRR17045850
SRR17045849	1006	PRJNA783885	1006_SRR17045849
SRR17045848	1007	PRJNA783885	1007_SRR17045848
SRR17045847	1008	PRJNA783885	1008_SRR17045847
SRR17045846	1009	PRJNA783885	1009_SRR17045846
SRR17045844	1010	PRJNA783885	1010_SRR17045844
SRR17045843	1011	PRJNA783885	1011_SRR17045843
SRR17045842	1012	PRJNA783885	1012_SRR17045842
SRR17045841	1013	PRJNA783885	1013_SRR17045841
SRR17045840	1014	PRJNA783885	1014_SRR17045840
SRR17046111	1015	PRJNA783885	1015_SRR17046111
SRR17046110	1016	PRJNA783885	1016_SRR17046110
SRR17046109	1017	PRJNA783885	1017_SRR17046109
SRR17046108	1018	PRJNA783885	1018_SRR17046108
SRR17046107	1019	PRJNA783885	1019_SRR17046107
SRR17046105	1021	PRJNA783885	1021_SRR17046105
SRR17046104	1022	PRJNA783885	1022_SRR17046104
SRR17046103	1023	PRJNA783885	1023_SRR17046103
SRR17046102	1024	PRJNA783885	1024_SRR17046102
SRR17046101	1025	PRJNA783885	1025_SRR17046101
SRR17046100	1026	PRJNA783885	1026_SRR17046100
SRR17046099	1027	PRJNA783885	1027_SRR17046099
SRR17046098	1028	PRJNA783885	1028_SRR17046098
SRR17046097	1029	PRJNA783885	1029_SRR17046097
SRR17046096	1030	PRJNA783885	1030_SRR17046096
SRR17046176	1031	PRJNA783885	1031_SRR17046176
SRR17046175	1032	PRJNA783885	1032_SRR17046175
SRR17046174	1033	PRJNA783885	1033_SRR17046174
SRR17046173	1034	PRJNA783885	1034_SRR17046173
SRR17046172	1035	PRJNA783885	1035_SRR17046172
SRR17046171	1036	PRJNA783885	1036_SRR17046171
SRR17046170	1037	PRJNA783885	1037_SRR17046170
SRR17046169	1038	PRJNA783885	1038_SRR17046169
SRR17046168	1039	PRJNA783885	1039_SRR17046168
SRR17046167	1040	PRJNA783885	1040_SRR17046167
SRR17046165	1041	PRJNA783885	1041_SRR17046165
SRR17046164	1042	PRJNA783885	1042_SRR17046164
SRR17046163	1043	PRJNA783885	1043_SRR17046163
SRR17046162	1044	PRJNA783885	1044_SRR17046162
SRR17046161	1045	PRJNA783885	1045_SRR17046161
SRR17046160	1046	PRJNA783885	1046_SRR17046160
SRR17046159	1047	PRJNA783885	1047_SRR17046159
SRR17046158	1048	PRJNA783885	1048_SRR17046158
SRR17046157	1049	PRJNA783885	1049_SRR17046157
SRR17046156	1050	PRJNA783885	1050_SRR17046156
SRR17046154	1051	PRJNA783885	1051_SRR17046154
SRR17046153	1052	PRJNA783885	1052_SRR17046153
SRR17046152	1053	PRJNA783885	1053_SRR17046152
SRR17046151	1054	PRJNA783885	1054_SRR17046151
SRR17046150	1055	PRJNA783885	1055_SRR17046150
SRR17046149	1056	PRJNA783885	1056_SRR17046149
SRR17046148	1057	PRJNA783885	1057_SRR17046148
SRR17046147	1058	PRJNA783885	1058_SRR17046147
SRR17046146	1059	PRJNA783885	1059_SRR17046146
SRR17045921	1060	PRJNA783885	1060_SRR17045921
SRR17046145	1061	PRJNA783885	1061_SRR17046145
SRR17046095	1062	PRJNA783885	1062_SRR17046095
SRR17046094	1063	PRJNA783885	1063_SRR17046094
SRR17046093	1064	PRJNA783885	1064_SRR17046093
SRR17046092	1065	PRJNA783885	1065_SRR17046092
SRR17046091	1066	PRJNA783885	1066_SRR17046091
SRR17046090	1067	PRJNA783885	1067_SRR17046090
SRR17046089	1068	PRJNA783885	1068_SRR17046089
SRR17046088	1069	PRJNA783885	1069_SRR17046088
SRR17046087	1070	PRJNA783885	1070_SRR17046087
SRR17046086	1072	PRJNA783885	1072_SRR17046086
SRR17046084	1073	PRJNA783885	1073_SRR17046084
SRR17046083	1075	PRJNA783885	1075_SRR17046083
SRR17046082	1076	PRJNA783885	1076_SRR17046082
SRR17046081	1077	PRJNA783885	1077_SRR17046081
SRR17046080	1078	PRJNA783885	1078_SRR17046080
SRR17046079	1079	PRJNA783885	1079_SRR17046079
SRR17046078	1080	PRJNA783885	1080_SRR17046078
SRR17046077	1081	PRJNA783885	1081_SRR17046077
SRR17046076	1082	PRJNA783885	1082_SRR17046076
SRR17046075	1083	PRJNA783885	1083_SRR17046075
SRR17046073	1084	PRJNA783885	1084_SRR17046073
SRR17046072	1085	PRJNA783885	1085_SRR17046072
SRR17046071	1086	PRJNA783885	1086_SRR17046071
SRR17046070	1087	PRJNA783885	1087_SRR17046070
SRR17046069	1088	PRJNA783885	1088_SRR17046069
SRR17046068	1089	PRJNA783885	1089_SRR17046068
SRR17046067	1090	PRJNA783885	1090_SRR17046067
SRR17046066	1091	PRJNA783885	1091_SRR17046066
SRR17046065	1092	PRJNA783885	1092_SRR17046065
SRR17046064	1093	PRJNA783885	1093_SRR17046064
SRR17045966	1094	PRJNA783885	1094_SRR17045966
SRR17045965	1095	PRJNA783885	1095_SRR17045965
SRR17045964	1096	PRJNA783885	1096_SRR17045964
SRR17045963	1097	PRJNA783885	1097_SRR17045963
SRR17045962	1098	PRJNA783885	1098_SRR17045962
SRR17045961	1099	PRJNA783885	1099_SRR17045961
SRR17045910	11	PRJNA783885	11_SRR17045910
SRR17045960	1100	PRJNA783885	1100_SRR17045960
SRR17045959	1101	PRJNA783885	1101_SRR17045959
SRR17045958	1102	PRJNA783885	1102_SRR17045958
SRR17045957	1103	PRJNA783885	1103_SRR17045957
SRR17045955	1104	PRJNA783885	1104_SRR17045955
SRR17045954	1105	PRJNA783885	1105_SRR17045954
SRR17045953	1106	PRJNA783885	1106_SRR17045953
SRR17045952	1107	PRJNA783885	1107_SRR17045952
SRR17045951	1108	PRJNA783885	1108_SRR17045951
SRR17045950	1109	PRJNA783885	1109_SRR17045950
SRR17045949	1110	PRJNA783885	1110_SRR17045949
SRR17045948	1111	PRJNA783885	1111_SRR17045948
SRR17045947	1112	PRJNA783885	1112_SRR17045947
SRR17045946	1113	PRJNA783885	1113_SRR17045946
SRR17045944	1114	PRJNA783885	1114_SRR17045944
SRR17045943	1115	PRJNA783885	1115_SRR17045943
SRR17045942	1116	PRJNA783885	1116_SRR17045942
SRR17045941	1117	PRJNA783885	1117_SRR17045941
SRR17045940	1118	PRJNA783885	1118_SRR17045940
SRR17045939	1119	PRJNA783885	1119_SRR17045939
SRR17045938	1120	PRJNA783885	1120_SRR17045938
SRR17045937	1121	PRJNA783885	1121_SRR17045937
SRR17045936	1123	PRJNA783885	1123_SRR17045936
SRR17046143	1124	PRJNA783885	1124_SRR17046143
SRR17046141	1125	PRJNA783885	1125_SRR17046141
SRR17046140	1126	PRJNA783885	1126_SRR17046140
SRR17046139	1127	PRJNA783885	1127_SRR17046139
SRR17046138	1128	PRJNA783885	1128_SRR17046138
SRR17046137	1129	PRJNA783885	1129_SRR17046137
SRR17046136	1130	PRJNA783885	1130_SRR17046136
SRR17046135	1131	PRJNA783885	1131_SRR17046135
SRR17046134	1132	PRJNA783885	1132_SRR17046134
SRR17046133	1133	PRJNA783885	1133_SRR17046133
SRR17046132	1134	PRJNA783885	1134_SRR17046132
SRR17046129	1135	PRJNA783885	1135_SRR17046129
SRR17046128	1136	PRJNA783885	1136_SRR17046128
SRR17046127	1138	PRJNA783885	1138_SRR17046127
SRR17046126	1139	PRJNA783885	1139_SRR17046126
SRR17046125	1140	PRJNA783885	1140_SRR17046125
SRR17046124	1141	PRJNA783885	1141_SRR17046124
SRR17046123	1142	PRJNA783885	1142_SRR17046123
SRR17046122	1143	PRJNA783885	1143_SRR17046122
SRR17046121	1144	PRJNA783885	1144_SRR17046121
SRR17046120	1145	PRJNA783885	1145_SRR17046120
SRR17046118	1147	PRJNA783885	1147_SRR17046118
SRR17046117	1148	PRJNA783885	1148_SRR17046117
SRR17046116	1149	PRJNA783885	1149_SRR17046116
SRR17046115	1150	PRJNA783885	1150_SRR17046115
SRR17046114	1151	PRJNA783885	1151_SRR17046114
SRR17046113	1152	PRJNA783885	1152_SRR17046113
SRR17046112	1153	PRJNA783885	1153_SRR17046112
SRR17045935	1154	PRJNA783885	1154_SRR17045935
SRR17045934	1155	PRJNA783885	1155_SRR17045934
SRR17045933	1156	PRJNA783885	1156_SRR17045933
SRR17045931	1157	PRJNA783885	1157_SRR17045931
SRR17045930	1158	PRJNA783885	1158_SRR17045930
SRR17045929	1159	PRJNA783885	1159_SRR17045929
SRR17045928	1160	PRJNA783885	1160_SRR17045928
SRR17045927	1161	PRJNA783885	1161_SRR17045927
SRR17045926	1162	PRJNA783885	1162_SRR17045926
SRR17045925	1163	PRJNA783885	1163_SRR17045925
SRR17045924	1164	PRJNA783885	1164_SRR17045924
SRR17045923	1165	PRJNA783885	1165_SRR17045923
SRR17045922	1166	PRJNA783885	1166_SRR17045922
SRR17045920	1167	PRJNA783885	1167_SRR17045920
SRR17045919	1168	PRJNA783885	1168_SRR17045919
SRR17045918	1169	PRJNA783885	1169_SRR17045918
SRR17045917	1170	PRJNA783885	1170_SRR17045917
SRR17045916	1171	PRJNA783885	1171_SRR17045916
SRR17045915	1174	PRJNA783885	1174_SRR17045915
SRR17045914	1175	PRJNA783885	1175_SRR17045914
SRR17045913	1176	PRJNA783885	1176_SRR17045913
SRR17045912	1177	PRJNA783885	1177_SRR17045912
SRR17045911	1178	PRJNA783885	1178_SRR17045911
SRR17045909	1179	PRJNA783885	1179_SRR17045909
SRR17045908	1180	PRJNA783885	1180_SRR17045908
SRR17045907	1181	PRJNA783885	1181_SRR17045907
SRR17045906	1182	PRJNA783885	1182_SRR17045906
SRR17045905	1183	PRJNA783885	1183_SRR17045905
SRR17045904	1184	PRJNA783885	1184_SRR17045904
SRR17045903	1185	PRJNA783885	1185_SRR17045903
SRR17045902	1186	PRJNA783885	1186_SRR17045902
SRR17045901	1187	PRJNA783885	1187_SRR17045901
SRR17045900	1188	PRJNA783885	1188_SRR17045900
SRR17045898	1189	PRJNA783885	1189_SRR17045898
SRR17045897	1190	PRJNA783885	1190_SRR17045897
SRR17045896	1191	PRJNA783885	1191_SRR17045896
SRR17045895	1192	PRJNA783885	1192_SRR17045895
SRR17045894	1193	PRJNA783885	1193_SRR17045894
SRR17045893	1194	PRJNA783885	1194_SRR17045893
SRR17045892	1195	PRJNA783885	1195_SRR17045892
SRR17045891	1196	PRJNA783885	1196_SRR17045891
SRR17045890	1197	PRJNA783885	1197_SRR17045890
SRR17045889	1198	PRJNA783885	1198_SRR17045889
SRR17045887	1199	PRJNA783885	1199_SRR17045887
SRR17045899	12	PRJNA783885	12_SRR17045899
SRR17045886	1200	PRJNA783885	1200_SRR17045886
SRR17045885	1201	PRJNA783885	1201_SRR17045885
SRR17045884	1202	PRJNA783885	1202_SRR17045884
SRR17045883	1203	PRJNA783885	1203_SRR17045883
SRR17045882	1204	PRJNA783885	1204_SRR17045882
SRR17045881	1205	PRJNA783885	1205_SRR17045881
SRR17045880	1206	PRJNA783885	1206_SRR17045880
SRR17045879	1207	PRJNA783885	1207_SRR17045879
SRR17045878	1208	PRJNA783885	1208_SRR17045878
SRR17045876	1209	PRJNA783885	1209_SRR17045876
SRR17045875	1210	PRJNA783885	1210_SRR17045875
SRR17045874	1211	PRJNA783885	1211_SRR17045874
SRR17045873	1212	PRJNA783885	1212_SRR17045873
SRR17045872	1213	PRJNA783885	1213_SRR17045872
SRR17046063	1214	PRJNA783885	1214_SRR17046063
SRR17046062	1215	PRJNA783885	1215_SRR17046062
SRR17046061	1216	PRJNA783885	1216_SRR17046061
SRR17046060	1217	PRJNA783885	1217_SRR17046060
SRR17046059	1218	PRJNA783885	1218_SRR17046059
SRR17046057	1219	PRJNA783885	1219_SRR17046057
SRR17046056	1220	PRJNA783885	1220_SRR17046056
SRR17046055	1221	PRJNA783885	1221_SRR17046055
SRR17046054	1223	PRJNA783885	1223_SRR17046054
SRR17046053	1225	PRJNA783885	1225_SRR17046053
SRR17046052	1226	PRJNA783885	1226_SRR17046052
SRR17046051	1227	PRJNA783885	1227_SRR17046051
SRR17046050	1228	PRJNA783885	1228_SRR17046050
SRR17046049	1229	PRJNA783885	1229_SRR17046049
SRR17046048	1230	PRJNA783885	1230_SRR17046048
SRR17046046	1231	PRJNA783885	1231_SRR17046046
SRR17046045	1232	PRJNA783885	1232_SRR17046045
SRR17046044	1233	PRJNA783885	1233_SRR17046044
SRR17046043	1234	PRJNA783885	1234_SRR17046043
SRR17046042	1235	PRJNA783885	1235_SRR17046042
SRR17046041	1236	PRJNA783885	1236_SRR17046041
SRR17046040	1237	PRJNA783885	1237_SRR17046040
SRR17046039	1238	PRJNA783885	1238_SRR17046039
SRR17046038	1239	PRJNA783885	1239_SRR17046038
SRR17046037	1240	PRJNA783885	1240_SRR17046037
SRR17046034	1241	PRJNA783885	1241_SRR17046034
SRR17046033	1242	PRJNA783885	1242_SRR17046033
SRR17046032	1243	PRJNA783885	1243_SRR17046032
SRR17046031	1244	PRJNA783885	1244_SRR17046031
SRR17046030	1245	PRJNA783885	1245_SRR17046030
SRR17046029	1246	PRJNA783885	1246_SRR17046029
SRR17046028	1247	PRJNA783885	1247_SRR17046028
SRR17046027	1248	PRJNA783885	1248_SRR17046027
SRR17046026	1249	PRJNA783885	1249_SRR17046026
SRR17046025	1250	PRJNA783885	1250_SRR17046025
SRR17046023	1251	PRJNA783885	1251_SRR17046023
SRR17046022	1252	PRJNA783885	1252_SRR17046022
SRR17046021	1253	PRJNA783885	1253_SRR17046021
SRR17046020	1254	PRJNA783885	1254_SRR17046020
SRR17046019	1255	PRJNA783885	1255_SRR17046019
SRR17046018	1256	PRJNA783885	1256_SRR17046018
SRR17046017	1257	PRJNA783885	1257_SRR17046017
SRR17046016	1258	PRJNA783885	1258_SRR17046016
SRR17046015	1259	PRJNA783885	1259_SRR17046015
SRR17046014	1260	PRJNA783885	1260_SRR17046014
SRR17046012	1261	PRJNA783885	1261_SRR17046012
SRR17046011	1262	PRJNA783885	1262_SRR17046011
SRR17046010	1263	PRJNA783885	1263_SRR17046010
SRR17046009	1264	PRJNA783885	1264_SRR17046009
SRR17046008	1265	PRJNA783885	1265_SRR17046008
SRR17046007	1266	PRJNA783885	1266_SRR17046007
SRR17046006	1267	PRJNA783885	1267_SRR17046006
SRR17046005	1268	PRJNA783885	1268_SRR17046005
SRR17046004	1270	PRJNA783885	1270_SRR17046004
SRR17046003	1271	PRJNA783885	1271_SRR17046003
SRR17046001	1272	PRJNA783885	1272_SRR17046001
SRR17046000	1273	PRJNA783885	1273_SRR17046000
SRR17045999	1274	PRJNA783885	1274_SRR17045999
SRR17045998	1276	PRJNA783885	1276_SRR17045998
SRR17045997	1277	PRJNA783885	1277_SRR17045997
SRR17045996	1278	PRJNA783885	1278_SRR17045996
SRR17045995	1279	PRJNA783885	1279_SRR17045995
SRR17045994	1280	PRJNA783885	1280_SRR17045994
SRR17045993	1282	PRJNA783885	1282_SRR17045993
SRR17045888	13	PRJNA783885	13_SRR17045888
SRR17045981	1322	PRJNA783885	1322_SRR17045981
SRR17045980	1329	PRJNA783885	1329_SRR17045980
SRR17045979	1335	PRJNA783885	1335_SRR17045979
SRR17045978	1371	PRJNA783885	1371_SRR17045978
SRR17045977	1383	PRJNA783885	1383_SRR17045977
SRR17045976	1385	PRJNA783885	1385_SRR17045976
SRR17045975	1394	PRJNA783885	1394_SRR17045975
SRR17045877	14	PRJNA783885	14_SRR17045877
SRR17045973	1407	PRJNA783885	1407_SRR17045973
SRR17045972	1413	PRJNA783885	1413_SRR17045972
SRR17045971	1475	PRJNA783885	1475_SRR17045971
SRR17046058	15	PRJNA783885	15_SRR17046058
SRR17045970	1506	PRJNA783885	1506_SRR17045970
SRR17045969	1513	PRJNA783885	1513_SRR17045969
SRR17045968	1546	PRJNA783885	1546_SRR17045968
SRR17045871	1582	PRJNA783885	1582_SRR17045871
SRR17046047	16	PRJNA783885	16_SRR17046047
SRR17045870	1602	PRJNA783885	1602_SRR17045870
SRR17045869	1605	PRJNA783885	1605_SRR17045869
SRR17045868	1629	PRJNA783885	1629_SRR17045868
SRR17046035	17	PRJNA783885	17_SRR17046035
SRR17045866	1727	PRJNA783885	1727_SRR17045866
SRR17045865	1740	PRJNA783885	1740_SRR17045865
SRR17045864	1754	PRJNA783885	1754_SRR17045864
SRR17045863	1755	PRJNA783885	1755_SRR17045863
SRR17045862	1759	PRJNA783885	1759_SRR17045862
SRR17045861	1777	PRJNA783885	1777_SRR17045861
SRR17046024	18	PRJNA783885	18_SRR17046024
SRR17045860	1810	PRJNA783885	1810_SRR17045860
SRR17045859	1859	PRJNA783885	1859_SRR17045859
SRR17045858	1862	PRJNA783885	1862_SRR17045858
SRR17045857	1867	PRJNA783885	1867_SRR17045857
SRR17045855	1868	PRJNA783885	1868_SRR17045855
SRR17045854	1898	PRJNA783885	1898_SRR17045854
SRR17046013	19	PRJNA783885	19_SRR17046013
SRR17045853	1946	PRJNA783885	1946_SRR17045853
SRR17046002	2	PRJNA783885	2_SRR17046002
SRR17045991	20	PRJNA783885	20_SRR17045991
SRR17045990	21	PRJNA783885	21_SRR17045990
SRR17045992	2666	PRJNA783885	2666_SRR17045992
SRR17045989	3	PRJNA783885	3_SRR17045989
SRR17045988	4	PRJNA783885	4_SRR17045988
SRR17045987	5	PRJNA783885	5_SRR17045987
SRR17045986	6	PRJNA783885	6_SRR17045986
SRR17045984	7	PRJNA783885	7_SRR17045984
SRR17045983	8	PRJNA783885	8_SRR17045983
SRR17046179	830	PRJNA783885	830_SRR17046179
SRR17046178	831	PRJNA783885	831_SRR17046178
SRR17046131	832	PRJNA783885	832_SRR17046131
SRR17046036	833	PRJNA783885	833_SRR17046036
SRR17045985	834	PRJNA783885	834_SRR17045985
SRR17045974	835	PRJNA783885	835_SRR17045974
SRR17045867	836	PRJNA783885	836_SRR17045867
SRR17045856	837	PRJNA783885	837_SRR17045856
SRR17045845	838	PRJNA783885	838_SRR17045845
SRR17046106	839	PRJNA783885	839_SRR17046106
SRR17046177	840	PRJNA783885	840_SRR17046177
SRR17046166	841	PRJNA783885	841_SRR17046166
SRR17046155	842	PRJNA783885	842_SRR17046155
SRR17046144	843	PRJNA783885	843_SRR17046144
SRR17046085	844	PRJNA783885	844_SRR17046085
SRR17046074	845	PRJNA783885	845_SRR17046074
SRR17045967	846	PRJNA783885	846_SRR17045967
SRR17045956	847	PRJNA783885	847_SRR17045956
SRR17045945	848	PRJNA783885	848_SRR17045945
SRR17046142	849	PRJNA783885	849_SRR17046142
SRR17046130	850	PRJNA783885	850_SRR17046130
SRR17045982	9	PRJNA783885	9_SRR17045982
CRX444561	8941	PRJCA009749	8941_CRX444561
CRX444562	81162	PRJCA009749	81162_CRX444562
CRX444563	4F1	PRJCA009749	4F1_CRX444563
CRX444564	C8605_2	PRJCA009749	C8605_2_CRX444564
CRX444567	Dongbeihu	PRJCA009749	Dongbeihu_CRX444567
CRX444570	Jing388	PRJCA009749	Jing388_CRX444570
CRX444578	Longxi65	PRJCA009749	Longxi65_CRX444578
CRX444580	Hai9818	PRJCA009749	Hai9818_CRX444580
CRX444588	Ji4112	PRJCA009749	Ji4112_CRX444588
CRX444589	W499	PRJCA009749	W499_CRX444589
CRX444591	NC268	PRJCA009749	NC268_CRX444591
CRX444592	Zhongzi01	PRJCA009749	Zhongzi01_CRX444592
CRX444595	Jinghuang59	PRJCA009749	Jinghuang59_CRX444595
CRX444596	JN15	PRJCA009749	JN15_CRX444596
CRX444600	J0045	PRJCA009749	J0045_CRX444600
CRX444608	Hai1134	PRJCA009749	Hai1134_CRX444608
CRX444609	H9442	PRJCA009749	H9442_CRX444609
CRX444612	1205A	PRJCA009749	1205A_CRX444612
CRX444618	Shen977	PRJCA009749	Shen977_CRX444618
CRX444619	68122	PRJCA009749	68122_CRX444619
CRX444620	D869	PRJCA009749	D869_CRX444620
CRX444621	K21	PRJCA009749	K21_CRX444621
CRX444623	D886	PRJCA009749	D886_CRX444623
CRX444633	MC6179	PRJCA009749	MC6179_CRX444633
CRX444641	MC9269	PRJCA009749	MC9269_CRX444641
CRX444642	MC9270	PRJCA009749	MC9270_CRX444642
CRX444643	MC9274	PRJCA009749	MC9274_CRX444643
CRX444644	MC9282	PRJCA009749	MC9282_CRX444644
CRX444645	MC9287	PRJCA009749	MC9287_CRX444645
CRX444646	MC9288	PRJCA009749	MC9288_CRX444646
CRX444649	MC9300	PRJCA009749	MC9300_CRX444649
CRX444650	T5107	PRJCA009749	T5107_CRX444650
CRX444653	T5588	PRJCA009749	T5588_CRX444653
CRX444662	T33169	PRJCA009749	T33169_CRX444662
CRX444668	T33336	PRJCA009749	T33336_CRX444668
CRX444670	T33362	PRJCA009749	T33362_CRX444670
CRX444671	T24223	PRJCA009749	T24223_CRX444671
CRX444679	Jia6	PRJCA009749	Jia6_CRX444679
CRX444686	833	PRJCA009749	833_CRX444686
CRX444687	T116	PRJCA009749	T116_CRX444687
CRX444691	Suixi608	PRJCA009749	Suixi608_CRX444691
CRX444693	Suixi613	PRJCA009749	Suixi613_CRX444693
CRX444694	Suixi703	PRJCA009749	Suixi703_CRX444694
CRX444696	Suixi707	PRJCA009749	Suixi707_CRX444696
CRX444697	Suixi708	PRJCA009749	Suixi708_CRX444697
CRX444698	Suixi709	PRJCA009749	Suixi709_CRX444698
CRX444702	An441A	PRJCA009749	An441A_CRX444702
CRX444703	Nan5	PRJCA009749	Nan5_CRX444703
CRX444707	HR30	PRJCA009749	HR30_CRX444707
CRX444710	KL45	PRJCA009749	KL45_CRX444710
CRX444711	HB410	PRJCA009749	HB410_CRX444711
CRX444717	HB322	PRJCA009749	HB322_CRX444717
CRX444720	DN139	PRJCA009749	DN139_CRX444720
CRX444721	DN1722	PRJCA009749	DN1722_CRX444721
CRX444725	DN4402	PRJCA009749	DN4402_CRX444725
CRX444739	HRB16038	PRJCA009749	HRB16038_CRX444739
CRX444746	HRB16055	PRJCA009749	HRB16055_CRX444746
CRX444748	HRB16061	PRJCA009749	HRB16061_CRX444748
CRX444750	HRB16072	PRJCA009749	HRB16072_CRX444750
CRX444751	HRB16073	PRJCA009749	HRB16073_CRX444751
CRX444754	HRB16085	PRJCA009749	HRB16085_CRX444754
CRX444760	HRWC1	PRJCA009749	HRWC1_CRX444760
CRX444761	DKM8	PRJCA009749	DKM8_CRX444761
CRX444766	HR73	PRJCA009749	HR73_CRX444766
CRX444774	HRM8	PRJCA009749	HRM8_CRX444774
CRX444781	Mo113	PRJCA009749	Mo113_CRX444781
CRX444789	Dong96	PRJCA009749	Dong96_CRX444789
CRX444796	HRB16179	PRJCA009749	HRB16179_CRX444796
CRX444797	HRB16193	PRJCA009749	HRB16193_CRX444797
CRX444799	Zhe931	PRJCA009749	Zhe931_CRX444799
CRX444800	Zhe969	PRJCA009749	Zhe969_CRX444800
CRX444801	Zhe461	PRJCA009749	Zhe461_CRX444801
CRX444804	SCML202	PRJCA009749	SCML202_CRX444804
CRX444805	SCML205Rel	PRJCA009749	SCML205Rel_CRX444805
CRX444807	Ji9_033	PRJCA009749	Ji9_033_CRX444807
CRX444808	JiZ_S24_9	PRJCA009749	JiZ_S24_9_CRX444808
CRX444810	Zheng60	PRJCA009749	Zheng60_CRX444810
CRX444811	Jizi1006	PRJCA009749	Jizi1006_CRX444811
CRX444813	Jizi1018	PRJCA009749	Jizi1018_CRX444813
CRX444814	Jizi1023	PRJCA009749	Jizi1023_CRX444814
CRX444815	Jizi1034	PRJCA009749	Jizi1034_CRX444815
CRX444816	Jizi1039	PRJCA009749	Jizi1039_CRX444816
CRX444824	Jizi1058	PRJCA009749	Jizi1058_CRX444824
CRX444825	Jizi1082	PRJCA009749	Jizi1082_CRX444825
CRX444827	Jizi1092	PRJCA009749	Jizi1092_CRX444827
CRX444828	Jizi1134	PRJCA009749	Jizi1134_CRX444828
CRX444829	Jizi1138	PRJCA009749	Jizi1138_CRX444829
CRX444830	Jizi1140	PRJCA009749	Jizi1140_CRX444830
CRX444835	9083	PRJCA009749	9083_CRX444835
CRX444846	444_1	PRJCA009749	444_1_CRX444846
CRX444853	JLXH_4	PRJCA009749	JLXH_4_CRX444853
CRX444856	JLXH_12	PRJCA009749	JLXH_12_CRX444856
CRX444858	JLXH_17	PRJCA009749	JLXH_17_CRX444858
CRX444861	PHW51	PRJCA009749	PHW51_CRX444861
CRX444868	Liao51	PRJCA009749	Liao51_CRX444868
CRX444870	Liao785	PRJCA009749	Liao785_CRX444870
CRX444871	Liao8022	PRJCA009749	Liao8022_CRX444871
CRX444872	Liao428	PRJCA009749	Liao428_CRX444872
CRX444873	Shen161	PRJCA009749	Shen161_CRX444873
CRX444878	Dan598whitecob	PRJCA009749	Dan598whitecob_CRX444878
CRX444883	Tie9010	PRJCA009749	Tie9010_CRX444883
CRX444885	Ming2325	PRJCA009749	Ming2325_CRX444885
CRX444886	G285	PRJCA009749	G285_CRX444886
CRX444889	Liao1A407	PRJCA009749	Liao1A407_CRX444889
CRX444890	Liao63024	PRJCA009749	Liao63024_CRX444890
CRX444891	Liao20358	PRJCA009749	Liao20358_CRX444891
CRX444892	Liao2572	PRJCA009749	Liao2572_CRX444892
CRX444893	Liao3348	PRJCA009749	Liao3348_CRX444893
CRX444900	Liao0513	PRJCA009749	Liao0513_CRX444900
CRX444903	Liao0567	PRJCA009749	Liao0567_CRX444903
CRX444907	Shen5003	PRJCA009749	Shen5003_CRX444907
CRX444913	Liao6027	PRJCA009749	Liao6027_CRX444913
CRX444914	Shen501	PRJCA009749	Shen501_CRX444914
CRX444917	CAW4w	PRJCA009749	CAW4w_CRX444917
CRX444918	9626	PRJCA009749	9626_CRX444918
CRX444922	9534	PRJCA009749	9534_CRX444922
CRX444923	9580	PRJCA009749	9580_CRX444923
CRX444931	TD282	PRJCA009749	TD282_CRX444931
CRX444932	TE322	PRJCA009749	TE322_CRX444932
CRX444935	TE350	PRJCA009749	TE350_CRX444935
CRX444940	W_25	PRJCA009749	W_25_CRX444940
CRX444943	HH4	PRJCA009749	HH4_CRX444943
CRX444944	H446	PRJCA009749	H446_CRX444944
CRX444948	L98	PRJCA009749	L98_CRX444948
CRX444949	H81	PRJCA009749	H81_CRX444949
CRX444953	Chang98	PRJCA009749	Chang98_CRX444953
CRX444954	Jizi4658	PRJCA009749	Jizi4658_CRX444954
CRX444955	B17	PRJCA009749	B17_CRX444955
CRX444957	Jizi147048	PRJCA009749	Jizi147048_CRX444957
CRX444959	Jizi13L115	PRJCA009749	Jizi13L115_CRX444959
CRX444963	Jizi13L377	PRJCA009749	Jizi13L377_CRX444963
CRX444966	JiziB154	PRJCA009749	JiziB154_CRX444966
CRX444967	JiziA150	PRJCA009749	JiziA150_CRX444967
CRX444968	JiziA199	PRJCA009749	JiziA199_CRX444968
CRX444969	ZhengT22	PRJCA009749	ZhengT22_CRX444969
CRX444972	Xun313	PRJCA009749	Xun313_CRX444972
CRX444973	Xun5872	PRJCA009749	Xun5872_CRX444973
CRX444974	ZK02_1	PRJCA009749	ZK02_1_CRX444974
CRX444975	Luo1223	PRJCA009749	Luo1223_CRX444975
CRX444977	A1393	PRJCA009749	A1393_CRX444977
CRX444978	Zhu07	PRJCA009749	Zhu07_CRX444978
CRX444981	5N65	PRJCA009749	5N65_CRX444981
CRX444982	5N74	PRJCA009749	5N74_CRX444982
CRX444984	5N78	PRJCA009749	5N78_CRX444984
CRX444986	5N545	PRJCA009749	5N545_CRX444986
CRX444995	Zheng600	PRJCA009749	Zheng600_CRX444995
CRX444997	Zheng603	PRJCA009749	Zheng603_CRX444997
CRX444998	Zheng561	PRJCA009749	Zheng561_CRX444998
